id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
137,477,387,300,42,23,416.5625,309.984375,0.9231815934181213,0.9567901492118835,0,0,620,389
138,293,26,209,22,16,29.0625,224.890625,0.9225054979324341,0.9696969985961914,0,0,620,389
139,380,62,113,28,21,87.1875,115.484375,0.9218219518661499,0.96875,0,0,620,389
140,297,165,192,25,19,184.0625,200.578125,0.9208760261535645,0.9701986908912659,0,0,620,389
141,1646,455,83,83,35,474.6875,115.484375,0.9206899404525757,0.9515938758850098,0,0,620,389
142,2719,15,227,75,44,29.0625,237.046875,0.9201215505599976,0.9651204347610474,0,0,620,389
143,139,139,17,14,14,145.3125,18.234375,0.9197697043418884,0.9718309640884399,0,0,620,389
144,253,65,44,11,27,67.8125,54.703125,0.9191166758537292,0.9842519760131836,0,0,620,389
145,658,163,116,50,29,203.4375,127.640625,0.9187904000282288,0.9542772769927979,0,0,620,389
146,112,35,0,12,10,48.4375,6.078125,0.9182783961296082,0.9910714030265808,0,0,620,389
147,1447,387,0,24,77,397.1875,54.703125,0.9178440570831299,0.9509078860282898,0,0,620,389
148,592,153,161,83,12,203.4375,164.109375,0.917701005935669,0.9519867300987244,0,0,620,389
149,161,134,128,15,14,145.3125,127.640625,0.9160422682762146,0.9575757384300232,0,0,620,389
150,835,171,37,27,49,184.0625,66.859375,0.9158345460891724,0.9511059522628784,0,0,620,389
151,327,237,131,76,22,280.9375,139.796875,0.9145527482032776,0.9554896354675293,0,0,620,389
152,1811,315,100,106,39,377.8125,127.640625,0.9144101142883301,0.9552319049835205,0,0,620,389
153,174,455,77,14,16,455.3125,79.015625,0.9140545129776001,0.9774011373519897,0,0,620,389
154,138,194,40,13,14,203.4375,42.546875,0.9136326909065247,0.9642857313156128,0,0,620,389
155,2540,136,204,57,63,164.6875,249.203125,0.9127190709114075,0.963292121887207,0,0,620,389
156,460,54,0,15,41,67.8125,6.078125,0.9115719795227051,0.9657387733459473,0,0,620,389
157,89,84,62,9,11,87.1875,66.859375,0.9110307097434998,0.9670329689979553,0,0,620,389
158,345,278,33,13,29,280.9375,42.546875,0.9104881286621094,0.9715909361839294,0,0,620,389
159,156,314,60,8,35,319.6875,91.171875,0.9101971983909607,0.9748427867889404,0,0,620,389
160,162,194,269,21,15,203.4375,273.515625,0.9101049900054932,0.9638554453849792,0,0,620,389
161,144,11,0,5,26,9.6875,18.234375,0.9094308018684387,0.9794520735740662,0,0,620,389
162,581,115,158,36,25,125.9375,164.109375,0.9091392755508423,0.9547738432884216,0,0,620,389
163,528,411,19,12,54,416.5625,30.390625,0.9086278676986694,0.9830827116966248,0,0,620,389
164,1790,315,116,105,23,358.4375,127.640625,0.908226728439331,0.9572134017944336,0,0,620,389
165,186,461,61,13,16,474.6875,66.859375,0.9056460857391357,0.9736841917037964,0,0,620,389
166,377,432,93,38,13,455.3125,103.328125,0.9055666923522949,0.9611399173736572,0,0,620,389
167,345,165,61,10,55,164.6875,66.859375,0.9054406881332397,0.9601139426231384,0,0,620,389
168,179,333,54,8,37,339.0625,79.015625,0.9047509431838989,0.9779005646705627,0,0,620,389
169,115,145,182,15,10,145.3125,188.421875,0.9043182730674744,0.9576271176338196,0,0,620,389
170,152,193,259,14,11,203.4375,261.359375,0.9039861559867859,0.9805194735527039,0,0,620,389
171,295,278,16,20,29,280.9375,18.234375,0.9035177230834961,0.9503311514854431,0,0,620,389
172,327,461,61,17,31,474.6875,79.015625,0.9028443098068237,0.9848024249076843,0,0,620,389
173,174,329,111,16,11,339.0625,115.484375,0.9027338624000549,0.9828571677207947,0,0,620,389
174,580,432,78,39,28,455.3125,103.328125,0.9023911952972412,0.9532554149627686,0,0,620,389
